experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
1.01,multiclass,Random Forest,(undefined),100,2,5,14,100,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,14,140,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,14,180,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,18,100,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,18,140,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,7,14,20,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,10,20,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,2,5,2,20,0.254545455,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,5,14,100,0.251851852,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,5,14,180,0.251851852,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,2,60,0.251851852,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,5,18,100,0.251851852,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,5,18,140,0.251851852,accuracy
1.01,multiclass,Random Forest,(undefined),400,1,1,18,20,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,18,20,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,7,18,20,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),100,0.1,1,6,60,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),100,0.1,1,10,60,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),100,0.1,1,14,60,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),100,0.1,1,18,60,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,1,1,2,100,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,1,1,2,140,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,1,1,6,100,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,1,1,10,100,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,1,1,14,100,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,1,1,18,100,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,2,100,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,14,180,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,18,180,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,6,60,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,10,140,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,10,180,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,14,180,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,5,18,140,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,1,1,14,20,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,1,1,10,20,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,10,20,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,1,1,6,20,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),400,1,1,2,20,0.25,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,7,18,20,0.248148148,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,5,14,20,0.248148148,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,5,10,60,0.244444444,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,5,14,140,0.244444444,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,5,18,100,0.244444444,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,5,18,140,0.244444444,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,10,60,0.244444444,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,3,18,20,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,3,14,20,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,1,2,60,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,1,6,60,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,1,10,180,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,1,14,180,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,1,18,180,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,2,140,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,6,180,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,10,180,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,14,140,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,3,10,60,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,3,10,100,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,3,10,140,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,3,10,180,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,3,14,60,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,3,14,100,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,3,14,140,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,3,14,180,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,3,18,60,0.24137931,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,3,18,180,0.24137931,accuracy
