experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.01,multiclass,Random Forest,100,0.1,1,10,60,0.25
1.01,multiclass,Random Forest,100,0.1,1,14,60,0.25
1.01,multiclass,Random Forest,100,0.1,1,18,60,0.25
1.01,multiclass,Random Forest,400,1,1,2,20,0.25
1.01,multiclass,Random Forest,400,1,1,2,100,0.25
1.01,multiclass,Random Forest,400,1,1,2,140,0.25
1.01,multiclass,Random Forest,400,1,1,6,20,0.25
1.01,multiclass,Random Forest,400,1,1,6,100,0.25
1.01,multiclass,Random Forest,400,1,1,10,20,0.25
1.01,multiclass,Random Forest,400,1,1,10,100,0.25
1.01,multiclass,Random Forest,400,1,1,14,20,0.25
1.01,multiclass,Random Forest,400,1,1,14,100,0.25
1.01,multiclass,Random Forest,400,1,1,18,20,0.25
1.01,multiclass,Random Forest,400,1,1,18,100,0.25
1.01,multiclass,Random Forest,400,10,3,2,100,0.25
1.01,multiclass,Random Forest,400,10,3,10,20,0.25
1.01,multiclass,Random Forest,400,10,3,14,180,0.25
1.01,multiclass,Random Forest,400,10,3,18,20,0.25
1.01,multiclass,Random Forest,400,10,3,18,180,0.25
1.01,multiclass,Random Forest,400,10,5,6,60,0.25
1.01,multiclass,Random Forest,400,10,5,10,140,0.25
1.01,multiclass,Random Forest,400,10,5,10,180,0.25
1.01,multiclass,Random Forest,400,10,5,14,180,0.25
1.01,multiclass,Random Forest,400,10,5,18,140,0.25
1.01,multiclass,Random Forest,400,10,7,18,20,0.25
1.01,multiclass,Random Forest,100,10,5,14,20,0.248148148
1.01,multiclass,Random Forest,100,10,7,18,20,0.248148148
1.01,multiclass,Random Forest,100,10,5,10,60,0.244444444
1.01,multiclass,Random Forest,100,10,5,14,140,0.244444444
1.01,multiclass,Random Forest,100,10,5,18,100,0.244444444
1.01,multiclass,Random Forest,100,10,5,18,140,0.244444444
1.01,multiclass,Random Forest,200,10,3,10,60,0.244444444
1.01,multiclass,Random Forest,100,1,1,2,20,0.24137931
1.01,multiclass,Random Forest,100,1,1,2,60,0.24137931
1.01,multiclass,Random Forest,100,1,1,6,60,0.24137931
1.01,multiclass,Random Forest,100,1,1,10,180,0.24137931
1.01,multiclass,Random Forest,100,1,1,14,180,0.24137931
1.01,multiclass,Random Forest,100,1,1,18,180,0.24137931
1.01,multiclass,Random Forest,100,1,3,2,20,0.24137931
1.01,multiclass,Random Forest,100,1,3,2,140,0.24137931
1.01,multiclass,Random Forest,100,1,3,6,180,0.24137931
1.01,multiclass,Random Forest,100,1,3,10,180,0.24137931
1.01,multiclass,Random Forest,100,1,3,14,140,0.24137931
1.01,multiclass,Random Forest,100,1,5,2,20,0.24137931
1.01,multiclass,Random Forest,200,2,1,6,20,0.24137931
1.01,multiclass,Random Forest,200,2,3,6,20,0.24137931
1.01,multiclass,Random Forest,200,2,3,10,20,0.24137931
1.01,multiclass,Random Forest,200,2,3,10,60,0.24137931
1.01,multiclass,Random Forest,200,2,3,10,100,0.24137931
1.01,multiclass,Random Forest,200,2,3,10,140,0.24137931
1.01,multiclass,Random Forest,200,2,3,10,180,0.24137931
1.01,multiclass,Random Forest,200,2,3,14,20,0.24137931
1.01,multiclass,Random Forest,200,2,3,14,60,0.24137931
1.01,multiclass,Random Forest,200,2,3,14,100,0.24137931
1.01,multiclass,Random Forest,200,2,3,14,140,0.24137931
1.01,multiclass,Random Forest,200,2,3,14,180,0.24137931
1.01,multiclass,Random Forest,200,2,3,18,20,0.24137931
1.01,multiclass,Random Forest,200,2,3,18,60,0.24137931
1.01,multiclass,Random Forest,200,2,3,18,180,0.24137931
1.01,multiclass,Random Forest,100,10,5,14,60,0.240740741
1.01,multiclass,Random Forest,100,10,5,18,60,0.240740741
1.01,multiclass,Random Forest,100,10,7,14,20,0.240740741
1.01,multiclass,Random Forest,100,10,7,18,60,0.240740741
1.01,multiclass,Random Forest,100,10,9,18,20,0.240740741
1.01,multiclass,Random Forest,100,10,3,2,60,0.237037037
1.01,multiclass,Random Forest,100,10,3,2,140,0.237037037
1.01,multiclass,Random Forest,100,10,5,6,60,0.237037037
1.01,multiclass,Random Forest,100,10,5,6,100,0.237037037
1.01,multiclass,Random Forest,100,10,5,10,20,0.237037037
1.01,multiclass,Random Forest,100,10,7,10,20,0.237037037
1.01,multiclass,Random Forest,100,10,7,18,100,0.237037037
1.01,multiclass,Random Forest,100,10,9,10,20,0.237037037
1.01,multiclass,Random Forest,100,10,9,14,20,0.237037037
1.01,multiclass,Random Forest,200,10,1,2,20,0.237037037
1.01,multiclass,Random Forest,200,10,3,6,60,0.237037037
1.01,multiclass,Random Forest,200,10,5,18,60,0.237037037
1.01,multiclass,Random Forest,100,2,1,2,60,0.236363636
1.01,multiclass,Random Forest,100,2,1,6,180,0.236363636
1.01,multiclass,Random Forest,100,2,1,14,100,0.236363636
1.01,multiclass,Random Forest,100,2,1,18,100,0.236363636
1.01,multiclass,Random Forest,100,2,3,2,60,0.236363636
1.01,multiclass,Random Forest,100,2,3,6,100,0.236363636
1.01,multiclass,Random Forest,100,2,3,6,140,0.236363636
1.01,multiclass,Random Forest,100,2,3,10,140,0.236363636
1.01,multiclass,Random Forest,100,2,3,18,100,0.236363636
1.01,multiclass,Random Forest,100,2,5,2,60,0.236363636
1.01,multiclass,Random Forest,100,2,5,2,100,0.236363636
1.01,multiclass,Random Forest,100,2,5,2,140,0.236363636
1.01,multiclass,Random Forest,100,2,5,2,180,0.236363636
1.01,multiclass,Random Forest,100,2,5,6,20,0.236363636
1.01,multiclass,Random Forest,100,2,5,6,60,0.236363636
1.01,multiclass,Random Forest,100,2,5,6,100,0.236363636
1.01,multiclass,Random Forest,100,2,5,6,140,0.236363636
1.01,multiclass,Random Forest,100,2,5,6,180,0.236363636
1.01,multiclass,Random Forest,100,2,5,18,60,0.236363636
1.01,multiclass,Random Forest,100,2,5,18,180,0.236363636
1.01,multiclass,Random Forest,100,2,7,2,20,0.236363636
1.01,multiclass,Random Forest,100,2,7,2,60,0.236363636
1.01,multiclass,Random Forest,100,2,7,2,100,0.236363636
1.01,multiclass,Random Forest,100,2,7,2,140,0.236363636
1.01,multiclass,Random Forest,100,2,7,2,180,0.236363636
1.01,multiclass,Random Forest,100,2,7,6,20,0.236363636
1.01,multiclass,Random Forest,100,2,7,6,60,0.236363636
1.01,multiclass,Random Forest,100,2,7,6,100,0.236363636
1.01,multiclass,Random Forest,100,2,7,6,140,0.236363636
1.01,multiclass,Random Forest,100,2,7,6,180,0.236363636
1.01,multiclass,Random Forest,100,2,7,10,20,0.236363636
1.01,multiclass,Random Forest,100,2,7,10,60,0.236363636
1.01,multiclass,Random Forest,100,2,7,10,100,0.236363636
1.01,multiclass,Random Forest,100,2,7,10,140,0.236363636
1.01,multiclass,Random Forest,100,2,7,10,180,0.236363636
1.01,multiclass,Random Forest,100,2,7,14,60,0.236363636
1.01,multiclass,Random Forest,100,2,7,14,100,0.236363636
1.01,multiclass,Random Forest,100,2,7,14,140,0.236363636
1.01,multiclass,Random Forest,100,2,7,14,180,0.236363636
1.01,multiclass,Random Forest,100,2,7,18,60,0.236363636
1.01,multiclass,Random Forest,100,2,7,18,100,0.236363636
1.01,multiclass,Random Forest,100,2,7,18,140,0.236363636
1.01,multiclass,Random Forest,100,2,7,18,180,0.236363636
1.01,multiclass,Random Forest,100,2,9,2,20,0.236363636
1.01,multiclass,Random Forest,100,2,9,2,60,0.236363636
1.01,multiclass,Random Forest,100,2,9,2,100,0.236363636
1.01,multiclass,Random Forest,100,2,9,2,140,0.236363636
1.01,multiclass,Random Forest,100,2,9,2,180,0.236363636
1.01,multiclass,Random Forest,100,2,9,6,20,0.236363636
1.01,multiclass,Random Forest,100,2,9,6,60,0.236363636
1.01,multiclass,Random Forest,100,2,9,6,100,0.236363636
1.01,multiclass,Random Forest,100,2,9,6,140,0.236363636
1.01,multiclass,Random Forest,100,2,9,6,180,0.236363636
1.01,multiclass,Random Forest,100,2,9,10,20,0.236363636
1.01,multiclass,Random Forest,100,2,9,10,60,0.236363636
