experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.5,multiclass,Random Forest,400,200,4,100,400,0.59672619
1.5,multiclass,Random Forest,400,200,4,100,800,0.59672619
1.5,multiclass,Random Forest,400,200,4,50,3200,0.595982143
1.5,multiclass,Random Forest,200,200,6,200,400,0.59545962
1.5,multiclass,Random Forest,200,200,6,200,50,0.595087458
1.5,multiclass,Random Forest,200,200,6,200,3200,0.593970971
1.5,multiclass,Random Forest,200,200,6,200,1600,0.593598809
1.5,multiclass,Random Forest,400,200,4,50,800,0.593005952
1.5,multiclass,Random Forest,400,200,4,200,50,0.591517857
1.5,multiclass,Random Forest,200,200,6,200,100,0.590621511
1.5,multiclass,Random Forest,400,200,4,100,100,0.587053571
1.5,multiclass,Random Forest,400,200,4,200,100,0.587053571
1.5,multiclass,Random Forest,400,200,4,100,200,0.582589286
1.5,multiclass,Random Forest,400,200,4,50,200,0.57514881
1.5,multiclass,Random Forest,400,200,4,100,50,0.573660714
1.5,multiclass,Random Forest,400,200,4,50,100,0.5625
1.5,multiclass,Random Forest,400,200,4,50,50,0.552827381
1.5,multiclass,Random Forest,100,200,6,100,400,0.55098623
1.5,multiclass,Random Forest,100,200,6,100,3200,0.550427987
1.5,multiclass,Random Forest,100,200,6,100,800,0.550055824
1.5,multiclass,Random Forest,100,200,6,100,200,0.549869743
1.5,multiclass,Random Forest,100,200,6,100,1600,0.5493115
1.5,multiclass,Random Forest,100,200,6,100,50,0.548753256
1.5,multiclass,Random Forest,100,200,6,100,100,0.541682173
1.5,multiclass,Random Forest,400,200,6,200,200,0.526041667
1.5,multiclass,Random Forest,400,200,6,200,1600,0.524553571
1.5,multiclass,Random Forest,400,200,6,200,400,0.522321429
1.5,multiclass,Random Forest,200,200,6,100,800,0.521771492
1.5,multiclass,Random Forest,400,200,6,200,3200,0.520833333
1.5,multiclass,Random Forest,200,200,6,100,100,0.520282843
1.5,multiclass,Random Forest,400,200,6,200,800,0.520089286
1.5,multiclass,Random Forest,400,200,6,200,100,0.51860119
1.5,multiclass,Random Forest,200,200,6,100,400,0.518422032
1.5,multiclass,Random Forest,200,200,6,100,200,0.516561221
1.5,multiclass,Random Forest,200,200,6,100,1600,0.515816896
1.5,multiclass,Random Forest,200,200,6,100,3200,0.515444734
1.5,multiclass,Random Forest,400,200,6,200,50,0.51264881
1.5,multiclass,Random Forest,200,200,6,100,50,0.502419055
1.5,multiclass,Random Forest,400,200,6,100,100,0.479166667
1.5,multiclass,Random Forest,400,200,6,100,3200,0.472470238
1.5,multiclass,Random Forest,400,200,6,100,400,0.46875
1.5,multiclass,Random Forest,400,200,6,100,200,0.467261905
1.5,multiclass,Random Forest,400,200,6,100,800,0.467261905
1.5,multiclass,Random Forest,400,200,6,100,1600,0.467261905
1.5,multiclass,Random Forest,100,200,6,50,200,0.466505396
1.5,multiclass,Random Forest,100,200,6,50,400,0.463528098
1.5,multiclass,Random Forest,400,200,6,100,50,0.462797619
1.5,multiclass,Random Forest,100,200,6,50,800,0.46222553
1.5,multiclass,Random Forest,100,200,6,50,3200,0.459620394
1.5,multiclass,Random Forest,100,200,6,50,1600,0.459434313
1.5,multiclass,Random Forest,100,200,6,50,50,0.450502419
1.5,multiclass,Random Forest,100,200,6,50,100,0.446966878
1.5,multiclass,Random Forest,200,200,6,50,100,0.438034983
1.5,multiclass,Random Forest,200,200,6,50,800,0.436546334
1.5,multiclass,Random Forest,200,200,6,50,400,0.43580201
1.5,multiclass,Random Forest,200,200,6,50,3200,0.433196874
1.5,multiclass,Random Forest,200,200,6,50,200,0.430219576
1.5,multiclass,Random Forest,200,200,6,50,1600,0.429847413
1.5,multiclass,Random Forest,200,200,6,50,50,0.428358764
1.5,multiclass,Random Forest,400,200,6,50,800,0.41889881
1.5,multiclass,Random Forest,400,200,6,50,400,0.416666667
1.5,multiclass,Random Forest,400,200,6,50,3200,0.415922619
1.5,multiclass,Random Forest,400,200,6,50,1600,0.415178571
1.5,multiclass,Random Forest,400,200,6,50,100,0.410714286
1.5,multiclass,Random Forest,400,200,6,50,200,0.40625
1.5,multiclass,Random Forest,400,200,6,50,50,0.40327381
