experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
16.05,multiclass,Logistic Regression,"(15341, 800)",200,100,1,0.1,0.01,none,0,200,0.266904856,species_recall
16.05,multiclass,Logistic Regression,"(15341, 1600)",200,100,2,0.1,0.01,none,0,200,0.049093556,species_recall
16.05,multiclass,Logistic Regression,"(15341, 12800)",200,100,4,0.1,0.01,none,0,200,0.42225751,species_recall
16.05,multiclass,Logistic Regression,"(15341, 123673)",200,100,6,0.1,0.01,none,0,200,0.535794627,species_recall
16.05,multiclass,Logistic Regression,"(15341, 330662)",200,100,8,0.1,0.01,none,0,200,0.427021305,species_recall
16.05,multiclass,Logistic Regression,"(15341, 329347)",200,100,10,0.1,0.01,none,0,200,0.501124785,species_recall
16.05,multiclass,Logistic Regression,"(15341, 270247)",200,100,12,0.1,0.01,none,0,200,0.36945878,species_recall
16.05,multiclass,Logistic Regression,"(30676, 800)",200,200,1,0.1,0.01,none,0,200,0.262806089,species_recall
16.05,multiclass,Logistic Regression,"(30676, 1600)",200,200,2,0.1,0.01,none,0,200,0.261151555,species_recall
16.05,multiclass,Logistic Regression,"(30676, 12800)",200,200,4,0.1,0.01,none,0,200,0.342951688,species_recall
16.05,multiclass,Logistic Regression,"(30676, 130270)",200,200,6,0.1,0.01,none,0,200,0.319986764,species_recall
16.05,multiclass,Logistic Regression,"(30676, 461967)",200,200,8,0.1,0.01,none,0,200,0.309596294,species_recall
16.05,multiclass,Logistic Regression,"(30676, 502435)",200,200,10,0.1,0.01,none,0,200,0.428060887,species_recall
16.05,multiclass,Logistic Regression,"(30676, 417385)",200,200,12,0.1,0.01,none,0,200,0.476042356,species_recall
16.05,multiclass,Logistic Regression,"(61353, 800)",200,400,1,0.1,0.01,none,0,200,0.261722757,species_recall
16.05,multiclass,Logistic Regression,"(61353, 1600)",200,400,2,0.1,0.01,none,0,200,0.2619544,species_recall
16.05,multiclass,Logistic Regression,"(61353, 12800)",200,400,4,0.1,0.01,none,0,200,0.236771568,species_recall
16.05,multiclass,Logistic Regression,"(61353, 132436)",200,400,6,0.1,0.01,none,0,200,0.341109898,species_recall
16.05,multiclass,Logistic Regression,"(61353, 555547)",200,400,8,0.1,0.01,none,0,200,0.315000496,species_recall
16.05,multiclass,Logistic Regression,"(61353, 645009)",200,400,10,0.1,0.01,none,0,200,0.391607929,species_recall
16.05,multiclass,Logistic Regression,"(61353, 541605)",200,400,12,0.1,0.01,none,0,200,0.315728515,species_recall
16.05,multiclass,Logistic Regression,"(84, 1600)",400,1,1,0.1,0.01,none,0,200,0.285714286,species_recall
16.05,multiclass,Logistic Regression,"(84, 3192)",400,1,2,0.1,0.01,none,0,200,0.238095238,species_recall
16.05,multiclass,Logistic Regression,"(84, 9348)",400,1,4,0.1,0.01,none,0,200,0.380952381,species_recall
16.05,multiclass,Logistic Regression,"(84, 8087)",400,1,6,0.1,0.01,none,0,200,0.380952381,species_recall
16.05,multiclass,Logistic Regression,"(84, 6291)",400,1,8,0.1,0.01,none,0,200,0.30952381,species_recall
16.05,multiclass,Logistic Regression,"(84, 5038)",400,1,10,0.1,0.01,none,0,200,0.285714286,species_recall
16.05,multiclass,Logistic Regression,"(84, 4158)",400,1,12,0.1,0.01,none,0,200,0.238095238,species_recall
16.05,multiclass,Logistic Regression,"(773, 1600)",400,10,1,0.1,0.01,none,0,200,0.128608924,species_recall
16.05,multiclass,Logistic Regression,"(773, 3200)",400,10,2,0.1,0.01,none,0,200,0.288713911,species_recall
16.05,multiclass,Logistic Regression,"(773, 24402)",400,10,4,0.1,0.01,none,0,200,0.31496063,species_recall
16.05,multiclass,Logistic Regression,"(773, 60202)",400,10,6,0.1,0.01,none,0,200,0.244094488,species_recall
16.05,multiclass,Logistic Regression,"(773, 55292)",400,10,8,0.1,0.01,none,0,200,0.251968504,species_recall
16.05,multiclass,Logistic Regression,"(773, 45061)",400,10,10,0.1,0.01,none,0,200,0.223097113,species_recall
16.05,multiclass,Logistic Regression,"(773, 37233)",400,10,12,0.1,0.01,none,0,200,0.280839895,species_recall
16.05,multiclass,Logistic Regression,"(7675, 1600)",400,100,1,0.1,0.01,none,0,200,0.259719651,species_recall
16.05,multiclass,Logistic Regression,"(7675, 3200)",400,100,2,0.1,0.01,none,0,200,0.061094948,species_recall
16.05,multiclass,Logistic Regression,"(7675, 25600)",400,100,4,0.1,0.01,none,0,200,0.521026184,species_recall
16.05,multiclass,Logistic Regression,"(7675, 216094)",400,100,6,0.1,0.01,none,0,200,0.410208939,species_recall
16.05,multiclass,Logistic Regression,"(7675, 414074)",400,100,8,0.1,0.01,none,0,200,0.370272415,species_recall
16.05,multiclass,Logistic Regression,"(7675, 380304)",400,100,10,0.1,0.01,none,0,200,0.353610156,species_recall
16.05,multiclass,Logistic Regression,"(7675, 318490)",400,100,12,0.1,0.01,none,0,200,0.249140439,species_recall
16.05,multiclass,Logistic Regression,"(15341, 1600)",400,200,1,0.1,0.01,none,0,200,0.267301839,species_recall
16.05,multiclass,Logistic Regression,"(15341, 3200)",400,200,2,0.1,0.01,none,0,200,0.253010454,species_recall
16.05,multiclass,Logistic Regression,"(15341, 25600)",400,200,4,0.1,0.01,none,0,200,0.455736403,species_recall
16.05,multiclass,Logistic Regression,"(15341, 245532)",400,200,6,0.1,0.01,none,0,200,0.621278285,species_recall
16.05,multiclass,Logistic Regression,"(15341, 646253)",400,200,8,0.1,0.01,none,0,200,0.525473071,species_recall
16.05,multiclass,Logistic Regression,"(15341, 641635)",400,200,10,0.1,0.01,none,0,200,0.377530766,species_recall
16.05,multiclass,Logistic Regression,"(15341, 542358)",400,200,12,0.1,0.01,none,0,200,0.479687707,species_recall
