experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.02,multiclass,Logistic Regression (sklearn),"(10908, 101439)",200,400,12,l2,auto,none,lbfgs,0.828619278,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(15, 1584)",400,1,1,l2,auto,none,lbfgs,0.25,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(15, 2307)",400,1,2,l2,auto,none,lbfgs,0.125,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(15, 2152)",400,1,4,l2,auto,none,lbfgs,0.125,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(15, 1504)",400,1,6,l2,auto,none,lbfgs,0.125,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(15, 1150)",400,1,8,l2,auto,none,lbfgs,0.125,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(15, 920)",400,1,10,l2,auto,none,lbfgs,0.125,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(15, 759)",400,1,12,l2,auto,none,lbfgs,0.125,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(137, 1600)",400,10,1,l2,auto,none,lbfgs,0.544117647,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(137, 3198)",400,10,2,l2,auto,none,lbfgs,0.426470588,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(137, 12476)",400,10,4,l2,auto,none,lbfgs,0.352941176,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(137, 12731)",400,10,6,l2,auto,none,lbfgs,0.25,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(137, 10095)",400,10,8,l2,auto,none,lbfgs,0.220588235,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(137, 8103)",400,10,10,l2,auto,none,lbfgs,0.235294118,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(137, 6689)",400,10,12,l2,auto,none,lbfgs,0.220588235,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(1364, 1600)",400,100,1,l2,auto,none,lbfgs,0.637444279,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(1364, 3200)",400,100,2,l2,auto,none,lbfgs,0.647845468,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(1364, 25130)",400,100,4,l2,auto,none,lbfgs,0.708766716,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(1364, 82471)",400,100,6,l2,auto,none,lbfgs,0.555720654,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(1364, 83630)",400,100,8,l2,auto,none,lbfgs,0.441307578,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(1364, 69363)",400,100,10,l2,auto,none,lbfgs,0.383358098,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(1364, 57455)",400,100,12,l2,auto,none,lbfgs,0.390787519,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 1600)",400,200,1,l2,auto,none,lbfgs,0.728422619,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 3200)",400,200,2,l2,auto,none,lbfgs,0.75,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 25514)",400,200,4,l2,auto,none,lbfgs,0.767857143,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 118951)",400,200,6,l2,auto,none,lbfgs,0.685267857,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 139728)",400,200,8,l2,auto,none,lbfgs,0.575892857,species_recall
