taxid.species,sequence_length,n_species_samples,n_samples_coverage_1
553,2864125,5,
553,2872582,5,
553,2872769,5,
553,2872915,5,
553,2873437,5,
554,2874431,1,
55601,2878529,2,
55601,2878897,2,
571,2880168,3,
571,2882234,3,
571,2883376,3,
573,2885038,24,
573,2889522,24,
573,2892523,24,
573,2895264,24,
573,2901562,24,
573,2902619,24,
573,2903106,24,
573,2905187,24,
573,2906507,24,
573,2906700,24,
573,2907142,24,
573,2907193,24,
573,2912346,24,
573,2912690,24,
573,2913900,24,
573,2924344,24,
573,2936689,24,
573,2941360,24,
573,2943218,24,
573,2943413,24,
573,2944528,24,
573,2947460,24,
573,2951805,24,
573,2953708,24,
57975,2953716,2,
57975,2953719,2,
615,2958908,1,
61624,2960339,2,
61624,2966146,2,
621,2972172,6,
621,2972810,6,
621,2973801,6,
621,2976163,6,
621,2976212,6,
621,2976958,6,
622,2979198,3,
622,2980548,3,
622,2981886,3,
623,2987450,9,
623,2987966,9,
623,2988947,9,
623,2990900,9,
623,2992245,9,
623,2994661,9,
623,2998664,9,
623,2999054,9,
623,3000464,9,
62322,3005051,20,
62322,3007450,20,
62322,3010111,20,
62322,3024069,20,
62322,3024078,20,
62322,3031375,20,
62322,3032271,20,
62322,3032288,20,
62322,3033566,20,
62322,3034043,20,
62322,3039042,20,
62322,3043210,20,
62322,3044678,20,
62322,3063912,20,
62322,3069926,20,
62322,3073079,20,
62322,3079196,20,
62322,3079253,20,
62322,3094342,20,
62322,3100794,20,
624,3113601,5,
624,3127456,5,
624,3133902,5,
624,3138747,5,
624,3149584,5,
630,3153284,4,
630,3173005,4,
630,3181762,4,
630,3197759,4,
632,3213911,40,
632,3217062,40,
632,3254376,40,
632,3256683,40,
632,3268071,40,
632,3281866,40,
632,3282708,40,
632,3288558,40,
632,3308273,40,
632,3309400,40,
632,3309401,40,
632,3331580,40,
632,3340068,40,
632,3344951,40,
632,3350619,40,
632,3350620,40,
632,3354505,40,
632,3362228,40,
632,3421954,40,
632,3449685,40,
632,3462887,40,
632,3483902,40,
632,3495687,40,
632,3497479,40,
632,3510148,40,
632,3532883,40,
632,3556545,40,
632,3561619,40,
632,3570858,40,
632,3576473,40,
632,3603977,40,
632,3638969,40,
632,3654135,40,
632,3657276,40,
632,3659644,40,
632,3671982,40,
632,3679105,40,
632,3703034,40,
632,3704285,40,
632,3760463,40,
633,3760560,7,
633,3760981,7,
633,3763012,7,
633,3805874,7,
633,3814128,7,
633,3820344,7,
633,3863450,7,
636,3870082,2,
636,3872936,2,
644,3886916,1,
65058,3889532,2,
65058,3904116,2,
657445,3908022,1,
666,3910324,14,
666,3912947,14,
666,3916828,14,
666,3918589,14,
666,3919740,14,
666,3928857,14,
666,3936291,14,
666,3937511,14,
666,3939203,14,
666,3940230,14,
666,3940614,14,
666,3940880,14,
666,3942754,14,
666,3951920,14,
670,3957368,6,
670,3958233,6,
670,3961368,6,
670,3964618,6,
670,3964912,6,
670,3967794,6,
672,3976747,5,
672,3977794,5,
672,3988455,5,
672,3991133,5,
672,3992906,5,
715,3993083,5,
715,3995227,5,
715,3995387,5,
715,3997089,5,
715,4001621,5,
727,4001777,9,
727,4011949,9,
727,4019861,9,
727,4021944,9,
727,4026286,9,
727,4027676,9,
727,4033459,9,
727,4040304,9,
727,4042929,9,
738,4043846,1,
76759,4050513,1,
76860,4061186,2,
76860,4071167,2,
770,4074542,3,
770,4091591,3,
770,4092668,3,
77038,4093599,1,
779,4096345,1,
