experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,20,35,0.691849646
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,10,35,0.690360997
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,15,25,0.690360997
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,20,35,0.689988835
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,20,45,0.689616673
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,10,40,0.689029497
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,10,30,0.688500186
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,15,20,0.687755862
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,20,30,0.687755862
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,15,40,0.687383699
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,15,45,0.687383699
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,20,30,0.687011537
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,10,30,0.686639375
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,15,25,0.684406401
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,25,35,0.683662077
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,15,30,0.683662077
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,25,25,0.683289914
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,15,35,0.682917752
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,25,25,0.68254559
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,10,35,0.682423002
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,25,30,0.681801265
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,10,25,0.681429103
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,10,45,0.681429103
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,25,20,0.679940454
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,20,25,0.679568292
